=== Neural Cleanse Report ===
Timestamp: 2025年 08月 07日 星期四 10:19:22 CST

==> Running train_attack_blend_resnet_celeba_0.1_blend_no_smooth_epoch48.pt
Start time: 2025年 08月 07日 星期四 10:19:22 CST
using fraction:  1
[NC][t=4][r=2] step 100/800 | CE=0.0000 | L1=0.49862 | TV=0.00153
[NC][t=4][r=2] step 150/800 | CE=0.0000 | L1=0.49677 | TV=0.00150
[NC][t=4][r=2] step 200/800 | CE=0.0000 | L1=0.49459 | TV=0.00149
[NC][t=4][r=2] step 250/800 | CE=0.0000 | L1=0.49210 | TV=0.00150
[NC][t=4][r=2] step 300/800 | CE=0.0000 | L1=0.48934 | TV=0.00153
[NC][t=4][r=2] step 350/800 | CE=0.0000 | L1=0.48632 | TV=0.00158
[NC][t=4][r=2] step 400/800 | CE=0.0000 | L1=0.48305 | TV=0.00165
[NC][t=4][r=2] step 450/800 | CE=0.0000 | L1=0.47952 | TV=0.00174
[NC][t=4][r=2] step 500/800 | CE=0.0000 | L1=0.47573 | TV=0.00184
[NC][t=4][r=2] step 550/800 | CE=0.0000 | L1=0.47281 | TV=0.00193
[NC][t=4][r=2] step 600/800 | CE=0.0000 | L1=0.47237 | TV=0.00194
[NC][t=4][r=2] step 650/800 | CE=0.0000 | L1=0.47189 | TV=0.00196
[NC][t=4][r=2] step 700/800 | CE=0.0000 | L1=0.47137 | TV=0.00197
[NC][t=4][r=2] step 750/800 | CE=0.0000 | L1=0.47080 | TV=0.00199
[NC][t=4][r=2] step 800/800 | CE=0.0000 | L1=0.47019 | TV=0.00200
[NC][t=4] DONE | L1=0.470192 | TV=0.002005 | CE=0.0000
[NC][t=5][r=0] step 50/800 | CE=0.0000 | L1=0.49994 | TV=0.00145
[NC][t=5][r=0] step 100/800 | CE=0.0000 | L1=0.49851 | TV=0.00141
[NC][t=5][r=0] step 150/800 | CE=0.0000 | L1=0.49666 | TV=0.00139
[NC][t=5][r=0] step 200/800 | CE=0.0000 | L1=0.49449 | TV=0.00139
[NC][t=5][r=0] step 250/800 | CE=0.0000 | L1=0.49202 | TV=0.00140
[NC][t=5][r=0] step 300/800 | CE=0.0000 | L1=0.48928 | TV=0.00144
[NC][t=5][r=0] step 350/800 | CE=0.0000 | L1=0.48627 | TV=0.00149
[NC][t=5][r=0] step 400/800 | CE=0.0000 | L1=0.48301 | TV=0.00155
[NC][t=5][r=0] step 450/800 | CE=0.0000 | L1=0.47948 | TV=0.00163
[NC][t=5][r=0] step 500/800 | CE=0.0000 | L1=0.47570 | TV=0.00173
[NC][t=5][r=0] step 550/800 | CE=0.0000 | L1=0.47278 | TV=0.00181
[NC][t=5][r=0] step 600/800 | CE=0.0000 | L1=0.47234 | TV=0.00182
[NC][t=5][r=0] step 650/800 | CE=0.0000 | L1=0.47186 | TV=0.00183
[NC][t=5][r=0] step 700/800 | CE=0.0000 | L1=0.47134 | TV=0.00184
[NC][t=5][r=0] step 750/800 | CE=0.0000 | L1=0.47078 | TV=0.00186
[NC][t=5][r=0] step 800/800 | CE=0.0000 | L1=0.47016 | TV=0.00188
[NC][t=5][r=1] step 50/800 | CE=0.0000 | L1=0.49971 | TV=0.00158
[NC][t=5][r=1] step 100/800 | CE=0.0000 | L1=0.49834 | TV=0.00153
[NC][t=5][r=1] step 150/800 | CE=0.0000 | L1=0.49658 | TV=0.00150
[NC][t=5][r=1] step 200/800 | CE=0.0000 | L1=0.49449 | TV=0.00148
[NC][t=5][r=1] step 250/800 | CE=0.0000 | L1=0.49211 | TV=0.00148
[NC][t=5][r=1] step 300/800 | CE=0.0000 | L1=0.48946 | TV=0.00150
[NC][t=5][r=1] step 350/800 | CE=0.0000 | L1=0.48655 | TV=0.00154
[NC][t=5][r=1] step 400/800 | CE=0.0000 | L1=0.48339 | TV=0.00160
[NC][t=5][r=1] step 450/800 | CE=0.0000 | L1=0.47997 | TV=0.00167
[NC][t=5][r=1] step 500/800 | CE=0.0000 | L1=0.47631 | TV=0.00175
[NC][t=5][r=1] step 550/800 | CE=0.0000 | L1=0.47347 | TV=0.00182
[NC][t=5][r=1] step 600/800 | CE=0.0000 | L1=0.47304 | TV=0.00184
[NC][t=5][r=1] step 650/800 | CE=0.0000 | L1=0.47258 | TV=0.00185
[NC][t=5][r=1] step 700/800 | CE=0.0000 | L1=0.47207 | TV=0.00186
[NC][t=5][r=1] step 750/800 | CE=0.0000 | L1=0.47153 | TV=0.00187
[NC][t=5][r=1] step 800/800 | CE=0.0000 | L1=0.47093 | TV=0.00189
[NC][t=5][r=2] step 50/800 | CE=0.0000 | L1=0.49969 | TV=0.00163
[NC][t=5][r=2] step 100/800 | CE=0.0000 | L1=0.49849 | TV=0.00158
[NC][t=5][r=2] step 150/800 | CE=0.0000 | L1=0.49693 | TV=0.00154
[NC][t=5][r=2] step 200/800 | CE=0.0000 | L1=0.49506 | TV=0.00152
[NC][t=5][r=2] step 250/800 | CE=0.0000 | L1=0.49292 | TV=0.00151
