=== Neural Cleanse Report ===
Timestamp: 2025年 08月 07日 星期四 18:37:00 CST

==> Running train_attack_square_resnet_celeba_0.1_square_no_smooth_epoch30.pt
Start time: 2025年 08月 07日 星期四 18:37:00 CST
using fraction:  1
[NC][t=2][r=2] step 400/800 | CE=0.0000 | L1=0.48462 | TV=0.00187
[NC][t=2][r=2] step 450/800 | CE=0.0000 | L1=0.48138 | TV=0.00194
[NC][t=2][r=2] step 500/800 | CE=0.0000 | L1=0.47791 | TV=0.00203
[NC][t=2][r=2] step 550/800 | CE=0.0000 | L1=0.47523 | TV=0.00210
[NC][t=2][r=2] step 600/800 | CE=0.0000 | L1=0.47482 | TV=0.00212
[NC][t=2][r=2] step 650/800 | CE=0.0000 | L1=0.47438 | TV=0.00213
[NC][t=2][r=2] step 700/800 | CE=0.0000 | L1=0.47391 | TV=0.00214
[NC][t=2][r=2] step 750/800 | CE=0.0000 | L1=0.47339 | TV=0.00216
[NC][t=2][r=2] step 800/800 | CE=0.0000 | L1=0.47283 | TV=0.00217
[NC][t=2] DONE | L1=0.466466 | TV=0.001930 | CE=0.0000
[NC][t=3][r=0] step 50/800 | CE=0.0000 | L1=0.49993 | TV=0.00144
[NC][t=3][r=0] step 100/800 | CE=0.0000 | L1=0.49824 | TV=0.00140
[NC][t=3][r=0] step 150/800 | CE=0.0000 | L1=0.49609 | TV=0.00139
[NC][t=3][r=0] step 200/800 | CE=0.0000 | L1=0.49358 | TV=0.00141
[NC][t=3][r=0] step 250/800 | CE=0.0000 | L1=0.49076 | TV=0.00146
[NC][t=3][r=0] step 300/800 | CE=0.0000 | L1=0.48764 | TV=0.00153
[NC][t=3][r=0] step 350/800 | CE=0.0000 | L1=0.48424 | TV=0.00162
[NC][t=3][r=0] step 400/800 | CE=0.0000 | L1=0.48058 | TV=0.00172
[NC][t=3][r=0] step 450/800 | CE=0.0000 | L1=0.47665 | TV=0.00185
[NC][t=3][r=0] step 500/800 | CE=0.0000 | L1=0.47245 | TV=0.00198
[NC][t=3][r=0] step 550/800 | CE=0.0000 | L1=0.46922 | TV=0.00209
[NC][t=3][r=0] step 600/800 | CE=0.0000 | L1=0.46874 | TV=0.00210
[NC][t=3][r=0] step 650/800 | CE=0.0000 | L1=0.46821 | TV=0.00212
[NC][t=3][r=0] step 700/800 | CE=0.0000 | L1=0.46764 | TV=0.00214
[NC][t=3][r=0] step 750/800 | CE=0.0000 | L1=0.46701 | TV=0.00216
[NC][t=3][r=0] step 800/800 | CE=0.0000 | L1=0.46634 | TV=0.00218
[NC][t=3][r=1] step 50/800 | CE=0.0000 | L1=0.49986 | TV=0.00136
[NC][t=3][r=1] step 100/800 | CE=0.0000 | L1=0.49821 | TV=0.00131
[NC][t=3][r=1] step 150/800 | CE=0.0000 | L1=0.49606 | TV=0.00129
[NC][t=3][r=1] step 200/800 | CE=0.0000 | L1=0.49350 | TV=0.00128
[NC][t=3][r=1] step 250/800 | CE=0.0000 | L1=0.49060 | TV=0.00131
[NC][t=3][r=1] step 300/800 | CE=0.0000 | L1=0.48738 | TV=0.00136
[NC][t=3][r=1] step 350/800 | CE=0.0000 | L1=0.48386 | TV=0.00144
[NC][t=3][r=1] step 400/800 | CE=0.0000 | L1=0.48005 | TV=0.00153
[NC][t=3][r=1] step 450/800 | CE=0.0000 | L1=0.47595 | TV=0.00165
[NC][t=3][r=1] step 500/800 | CE=0.0000 | L1=0.47157 | TV=0.00177
[NC][t=3][r=1] step 550/800 | CE=0.0000 | L1=0.46818 | TV=0.00187
[NC][t=3][r=1] step 600/800 | CE=0.0000 | L1=0.46767 | TV=0.00189
[NC][t=3][r=1] step 650/800 | CE=0.0000 | L1=0.46712 | TV=0.00190
[NC][t=3][r=1] step 700/800 | CE=0.0000 | L1=0.46652 | TV=0.00192
[NC][t=3][r=1] step 750/800 | CE=0.0000 | L1=0.46587 | TV=0.00194
[NC][t=3][r=1] step 800/800 | CE=0.0000 | L1=0.46516 | TV=0.00196
[NC][t=3][r=2] step 50/800 | CE=0.0000 | L1=0.49990 | TV=0.00132
[NC][t=3][r=2] step 100/800 | CE=0.0000 | L1=0.49823 | TV=0.00128
[NC][t=3][r=2] step 150/800 | CE=0.0000 | L1=0.49606 | TV=0.00126
[NC][t=3][r=2] step 200/800 | CE=0.0000 | L1=0.49350 | TV=0.00127
[NC][t=3][r=2] step 250/800 | CE=0.0000 | L1=0.49059 | TV=0.00131
[NC][t=3][r=2] step 300/800 | CE=0.0000 | L1=0.48737 | TV=0.00137
[NC][t=3][r=2] step 350/800 | CE=0.0000 | L1=0.48384 | TV=0.00145
[NC][t=3][r=2] step 400/800 | CE=0.0000 | L1=0.48001 | TV=0.00154
[NC][t=3][r=2] step 450/800 | CE=0.0000 | L1=0.47589 | TV=0.00165
[NC][t=3][r=2] step 500/800 | CE=0.0000 | L1=0.47148 | TV=0.00178
[NC][t=3][r=2] step 550/800 | CE=0.0000 | L1=0.46807 | TV=0.00188
[NC][t=3][r=2] step 600/800 | CE=0.0000 | L1=0.46756 | TV=0.00189
[NC][t=3][r=2] step 650/800 | CE=0.0000 | L1=0.46700 | TV=0.00191
[NC][t=3][r=2] step 700/800 | CE=0.0000 | L1=0.46639 | TV=0.00193
[NC][t=3][r=2] step 750/800 | CE=0.0000 | L1=0.46574 | TV=0.00195
[NC][t=3][r=2] step 800/800 | CE=0.0000 | L1=0.46502 | TV=0.00197
[NC][t=3] DONE | L1=0.465023 | TV=0.001967 | CE=0.0000
[NC][t=4][r=0] step 50/800 | CE=0.0000 | L1=0.49980 | TV=0.00157
[NC][t=4][r=0] step 100/800 | CE=0.0000 | L1=0.49845 | TV=0.00153
[NC][t=4][r=0] step 150/800 | CE=0.0000 | L1=0.49669 | TV=0.00150
[NC][t=4][r=0] step 200/800 | CE=0.0000 | L1=0.49462 | TV=0.00150
[NC][t=4][r=0] step 250/800 | CE=0.0000 | L1=0.49227 | TV=0.00152
[NC][t=4][r=0] step 300/800 | CE=0.0000 | L1=0.48966 | TV=0.00156
[NC][t=4][r=0] step 350/800 | CE=0.0000 | L1=0.48682 | TV=0.00162
[NC][t=4][r=0] step 400/800 | CE=0.0000 | L1=0.48375 | TV=0.00170
[NC][t=4][r=0] step 450/800 | CE=0.0000 | L1=0.48044 | TV=0.00180
[NC][t=4][r=0] step 500/800 | CE=0.0000 | L1=0.47691 | TV=0.00191
[NC][t=4][r=0] step 550/800 | CE=0.0000 | L1=0.47418 | TV=0.00200
[NC][t=4][r=0] step 600/800 | CE=0.0000 | L1=0.47377 | TV=0.00202
[NC][t=4][r=0] step 650/800 | CE=0.0000 | L1=0.47333 | TV=0.00203
[NC][t=4][r=0] step 700/800 | CE=0.0000 | L1=0.47284 | TV=0.00205
[NC][t=4][r=0] step 750/800 | CE=0.0000 | L1=0.47232 | TV=0.00207
[NC][t=4][r=0] step 800/800 | CE=0.0000 | L1=0.47175 | TV=0.00209
[NC][t=4][r=1] step 50/800 | CE=0.0000 | L1=0.49963 | TV=0.00145
[NC][t=4][r=1] step 100/800 | CE=0.0000 | L1=0.49818 | TV=0.00140
[NC][t=4][r=1] step 150/800 | CE=0.0000 | L1=0.49630 | TV=0.00136
[NC][t=4][r=1] step 200/800 | CE=0.0000 | L1=0.49407 | TV=0.00135
[NC][t=4][r=1] step 250/800 | CE=0.0000 | L1=0.49153 | TV=0.00137
[NC][t=4][r=1] step 300/800 | CE=0.0000 | L1=0.48871 | TV=0.00141
[NC][t=4][r=1] step 350/800 | CE=0.0000 | L1=0.48563 | TV=0.00148
[NC][t=4][r=1] step 400/800 | CE=0.0000 | L1=0.48230 | TV=0.00156
[NC][t=4][r=1] step 450/800 | CE=0.0000 | L1=0.47871 | TV=0.00167
[NC][t=4][r=1] step 500/800 | CE=0.0000 | L1=0.47487 | TV=0.00179
[NC][t=4][r=1] step 550/800 | CE=0.0000 | L1=0.47191 | TV=0.00189
[NC][t=4][r=1] step 600/800 | CE=0.0000 | L1=0.47147 | TV=0.00190
[NC][t=4][r=1] step 650/800 | CE=0.0000 | L1=0.47098 | TV=0.00192
[NC][t=4][r=1] step 700/800 | CE=0.0000 | L1=0.47045 | TV=0.00193
[NC][t=4][r=1] step 750/800 | CE=0.0000 | L1=0.46988 | TV=0.00195
[NC][t=4][r=1] step 800/800 | CE=0.0000 | L1=0.46926 | TV=0.00197
[NC][t=4][r=2] step 50/800 | CE=0.0000 | L1=0.50005 | TV=0.00161
[NC][t=4][r=2] step 100/800 | CE=0.0000 | L1=0.49859 | TV=0.00156
[NC][t=4][r=2] step 150/800 | CE=0.0000 | L1=0.49669 | TV=0.00153
[NC][t=4][r=2] step 200/800 | CE=0.0000 | L1=0.49446 | TV=0.00153
[NC][t=4][r=2] step 250/800 | CE=0.0000 | L1=0.49194 | TV=0.00155
[NC][t=4][r=2] step 300/800 | CE=0.0000 | L1=0.48916 | TV=0.00160
[NC][t=4][r=2] step 350/800 | CE=0.0000 | L1=0.48614 | TV=0.00167
[NC][t=4][r=2] step 400/800 | CE=0.0000 | L1=0.48287 | TV=0.00176
[NC][t=4][r=2] step 450/800 | CE=0.0000 | L1=0.47937 | TV=0.00187
[NC][t=4][r=2] step 500/800 | CE=0.0000 | L1=0.47563 | TV=0.00200
[NC][t=4][r=2] step 550/800 | CE=0.0000 | L1=0.47275 | TV=0.00210
[NC][t=4][r=2] step 600/800 | CE=0.0000 | L1=0.47232 | TV=0.00211
[NC][t=4][r=2] step 650/800 | CE=0.0000 | L1=0.47185 | TV=0.00213
[NC][t=4][r=2] step 700/800 | CE=0.0000 | L1=0.47134 | TV=0.00215
[NC][t=4][r=2] step 750/800 | CE=0.0000 | L1=0.47078 | TV=0.00217
[NC][t=4][r=2] step 800/800 | CE=0.0000 | L1=0.47018 | TV=0.00219
[NC][t=4] DONE | L1=0.469263 | TV=0.001974 | CE=0.0000
[NC][t=5][r=0] step 50/800 | CE=0.0000 | L1=0.49999 | TV=0.00258
[NC][t=5][r=0] step 100/800 | CE=0.0000 | L1=0.49914 | TV=0.00252
[NC][t=5][r=0] step 150/800 | CE=0.0000 | L1=0.49802 | TV=0.00245
[NC][t=5][r=0] step 200/800 | CE=0.0000 | L1=0.49667 | TV=0.00239
[NC][t=5][r=0] step 250/800 | CE=0.0000 | L1=0.49511 | TV=0.00233
[NC][t=5][r=0] step 300/800 | CE=0.0000 | L1=0.49335 | TV=0.00228
[NC][t=5][r=0] step 350/800 | CE=0.0000 | L1=0.49141 | TV=0.00225
[NC][t=5][r=0] step 400/800 | CE=0.0000 | L1=0.48929 | TV=0.00222
[NC][t=5][r=0] step 450/800 | CE=0.0000 | L1=0.48698 | TV=0.00221
[NC][t=5][r=0] step 500/800 | CE=0.0000 | L1=0.48448 | TV=0.00220
[NC][t=5][r=0] step 550/800 | CE=0.0000 | L1=0.48254 | TV=0.00221
[NC][t=5][r=0] step 600/800 | CE=0.0000 | L1=0.48225 | TV=0.00221
[NC][t=5][r=0] step 650/800 | CE=0.0000 | L1=0.48193 | TV=0.00221
[NC][t=5][r=0] step 700/800 | CE=0.0000 | L1=0.48159 | TV=0.00222
[NC][t=5][r=0] step 750/800 | CE=0.0000 | L1=0.48121 | TV=0.00222
[NC][t=5][r=0] step 800/800 | CE=0.0000 | L1=0.48080 | TV=0.00222
[NC][t=5][r=1] step 50/800 | CE=0.0000 | L1=0.50017 | TV=0.00156
[NC][t=5][r=1] step 100/800 | CE=0.0000 | L1=0.49887 | TV=0.00152
[NC][t=5][r=1] step 150/800 | CE=0.0000 | L1=0.49718 | TV=0.00148
[NC][t=5][r=1] step 200/800 | CE=0.0000 | L1=0.49516 | TV=0.00146
[NC][t=5][r=1] step 250/800 | CE=0.0000 | L1=0.49284 | TV=0.00145
[NC][t=5][r=1] step 300/800 | CE=0.0000 | L1=0.49026 | TV=0.00147
[NC][t=5][r=1] step 350/800 | CE=0.0000 | L1=0.48742 | TV=0.00150
[NC][t=5][r=1] step 400/800 | CE=0.0000 | L1=0.48432 | TV=0.00156
[NC][t=5][r=1] step 450/800 | CE=0.0000 | L1=0.48098 | TV=0.00162
[NC][t=5][r=1] step 500/800 | CE=0.0000 | L1=0.47738 | TV=0.00170
[NC][t=5][r=1] step 550/800 | CE=0.0000 | L1=0.47459 | TV=0.00177
[NC][t=5][r=1] step 600/800 | CE=0.0000 | L1=0.47417 | TV=0.00178
[NC][t=5][r=1] step 650/800 | CE=0.0000 | L1=0.47371 | TV=0.00179
[NC][t=5][r=1] step 700/800 | CE=0.0000 | L1=0.47322 | TV=0.00181
